"customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","ContractMonth.to.month","ContractOne.year","ContractTwo.year","PaperlessBilling","PaymentMethodBank.transfer..automatic.","PaymentMethodCredit.card..automatic.","PaymentMethodElectronic.check","PaymentMethodMailed.check","MonthlyCharges","Churn"
"7590-VHVEG",0,0,1,0,-1.27735389150701,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,-1.16024053891536,0
"5575-GNVDE",1,0,0,0,0.0663227101674537,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.25961050958946,0
"3668-QPYBK",1,0,0,0,-1.23663641872899,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,-0.362634608885043,1
"7795-CFOCW",1,0,0,0,0.514214910725608,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.746482462712135,0
"9237-HQITU",0,0,0,0,-1.23663641872899,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.197351221157078,1
"9305-CDSKC",0,0,0,0,-0.99233158206091,1,1,2,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1.15946337425615,1
"1452-KIOVK",1,0,0,1,-0.422286963168714,1,1,2,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0.80884910084699,0
"6713-OKOMC",0,0,0,0,-0.910896636504882,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.16356389695716,0
"7892-POOKP",0,0,1,0,-0.17798212650063,1,1,2,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1.33061631340849,1
"6388-TABGU",1,0,0,1,1.20641194795185,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,-0.286197373923805,0
"9763-GRSKD",1,0,1,1,-0.78874421817084,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,-0.492245572514971,0
"7469-LKBCI",1,0,0,0,-0.666591799836798,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1.5224865654708,0
"8091-TTVAX",1,0,1,0,1.04354205683979,1,1,2,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1.1827268805487,0
"0280-XJGEX",1,0,0,0,0.677084801837664,1,1,2,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1.29405937494877,1
"5129-JLPIS",1,0,0,0,-0.300134544834672,1,0,2,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1.35387981970104,0
"3655-SNQYZ",0,0,1,1,1.49143425739794,1,1,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1.61144006794,0
"8191-XWSZG",0,0,0,0,0.799237220171706,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.46598947876032,0
"9959-WOFKT",1,0,0,1,1.57286920295397,1,1,2,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1.39376011620256,0
"4190-MFLUW",0,0,1,1,-0.910896636504882,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,-0.317769275320838,1
"4183-MYFRB",0,0,0,0,-0.463004435946728,1,0,2,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0.840421002244023,0
"8779-QRDMV",1,1,0,0,-1.27735389150701,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,-0.83455145081965,1
"1680-VDCWW",1,0,1,0,-0.829461690948854,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1.49423802211556,0
"1066-JKSGK",1,0,0,0,-1.27735389150701,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.48260626896929,1
"3638-WEABW",0,0,1,0,1.04354205683979,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,-0.161571447356567,0
"6322-HRPFA",1,0,1,1,0.677084801837664,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,-0.171541521481946,0
"6865-JZNKO",0,0,0,0,-0.0965471809446022,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,-0.314445917279045,0
"6467-CHFZW",1,0,1,1,0.595649856281636,1,1,2,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1.14949330013077,1
"8665-UTDHZ",1,0,1,1,-1.27735389150701,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1.14860878576909,1
"5248-YGIJN",1,0,1,0,1.61358667573199,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0.847067718327609,0
"8773-HHUOZ",0,0,0,1,-0.625874327058784,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,-0.00205026135050274,1
"3841-NFECX",0,1,1,0,1.57286920295397,1,1,2,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1.04979255887698,0
"4929-XIHVW",1,1,1,0,-1.23663641872899,1,0,2,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1.02154401552174,0
"6827-IEAUQ",0,0,1,1,-0.218699599278644,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0.046138430255496,0
"7310-EGVHZ",1,0,0,0,-1.27735389150701,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-1.48094458994839,0
"3413-BMNZE",1,1,0,0,-1.27735389150701,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.648443400479242,0
"6234-RAAPL",0,0,1,1,1.61358667573199,1,1,2,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1.16777176936063,0
"6047-YHPVI",1,0,0,0,-1.11448400039495,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.164117640739147,1
"6572-ADKRS",0,0,0,0,0.554932383503622,1,0,2,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.33360890087059,0
"5380-WJKOV",1,0,0,0,0.0663227101674537,1,1,2,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1.38212836305628,1
"8168-UQWWF",0,0,0,0,-0.870179163726868,1,1,2,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1.09964292950388,1
"8865-TNMNX",1,0,1,1,-0.910896636504882,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-0.505539004682143,0
"9489-DEDVP",0,0,1,1,1.53215173017596,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0.147500850530182,0
"9867-JCZSP",0,0,1,1,-0.625874327058784,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.46266612071853,0
"4671-VJLCL",0,0,0,0,1.24712942072986,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0.501438481981137,0
"4080-IIARD",0,0,1,0,-0.78874421817084,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0.380135913455693,0
"3714-NTNFO",0,0,0,0,0.677084801837664,1,1,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0.655974630924512,0
"5948-UJZLF",1,0,0,0,-1.23663641872899,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-0.515509078807522,0
"7760-OYPDY",0,0,0,0,-1.23663641872899,1,0,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0.528025346315481,1
"7639-LIAYI",1,0,0,0,0.799237220171706,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0.498115123939344,0
"2954-PIBKO",0,0,1,1,1.49143425739794,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,-0.0203287305803641,0
